Name,p_small,p_med,p_large
Blackened Aioli Sauce,$3.95,,
Chilli Aioli Sauce,$3.95,,
Egg,$3.95,,
Herb Mayo Sauce,$3.95,,
Honey Roasted BBQ Sauce,$3.95,,
Pickle Mayo Sauce,$3.95,,
Reds Hot Sauce,$3.95,,
Sweet & Sour Sauce,$3.95,,
Whole Egg Mayo Sauce,$3.95,,
BBQ Sauce,$3.95,,
Blackened Aioli,$3.95,,
Chipotle Pickles,$3.95,,
PC - BBQ,$3.95,,
Pickle Mayo,$3.95,,
Sliced Tomato,$3.75,,
Tomato Sauce,$3.65,,
Whole Egg Mayo,$3.50,,
